wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period
0.0,0.5,0.25,0.0,0.5,10,3,0.07095105557596448,-0.04804365725362536,-0.10001048525691236,0.6045454545454544,-0.019613644776317107,0.02245447904112674,-0.009112088767777138,0.6666666666666666,-0.047777616182070104,-0.02616461435864481,-0.054806030904127945,0.6666666666666666,-0.029158322616615995,-0.04254278401950906,-0.044145678014141376,0.6444444444444444,-0.02631213576057281
0.0,0.5,0.25,0.25,0.0,20,5,0.11824286108221904,-0.000751851747370802,-0.053884399140047834,0.5056818181818182,-0.041546889434595946,0.0005212343828479016,-0.04423878599123232,0.5833333333333334,-0.03309572469637845,-0.011482722872953155,-0.030645657669528537,0.5833333333333334,0.007957017474408357,-0.00542744392848471,-0.022847719463197302,0.5555555555555556,-0.0027445497108205654
0.0,0.5,0.25,0.25,0.0,20,3,0.11612507866141386,-0.002869634168175983,-0.04743517812587872,0.30795454545454537,-0.028279661636550824,0.013788462180893024,-0.03318432555724904,0.4166666666666667,-0.013257645038905363,0.00835535678451993,-0.02340927321928199,0.4166666666666667,-0.013277470780361122,-0.02666193218325419,-0.02616341920311538,0.3777777777777777,-0.000590206140266075
0.0,0.5,0.25,0.25,0.0,10,5,0.07811496213266333,-0.04087975069692651,-0.09003161386816705,1.0,-0.05196523293840016,-0.009897109120956316,-0.041090003992467206,1.0,-0.022448646923061477,-0.0008356450996361842,-0.04044713528553778,1.0,-0.014087416046721257,-0.027471877449614324,-0.028565492594970654,1.0,-0.025116293476243584
0.0,0.5,0.25,0.25,0.0,10,3,0.0665720266158949,-0.05242268621369495,-0.053336635731505044,0.6045454545454544,0.007354844609843925,0.04942296842728777,-0.0012731288564578058,0.6666666666666666,-0.013270335867290428,0.008342665956134865,-0.03009925789713863,0.6666666666666666,0.003165328948569135,-0.010219132454323931,-0.0227371587172297,0.6444444444444444,-0.011515936664069144
0.0,0.5,0.25,0.25,0.5,20,5,0.08367030396276465,-0.0353244088668252,-0.04935267298281787,0.5056818181818182,-0.008482701749098043,0.033585422068345805,-0.019653582275143577,0.5833333333333334,-0.030292820506384377,-0.008679818682959084,-0.03407946606586032,0.5833333333333334,-0.01815600676568041,-0.03154046816857348,-0.02780220351142426,0.5555555555555556,-0.013532671500714773
0.0,0.5,0.25,0.25,0.5,20,3,0.07829862031582602,-0.040696092513763826,-0.04643001230451704,0.30795454545454537,-0.002088461503997885,0.03997966231344596,-0.024074933677333377,0.4166666666666667,-0.03756281818204177,-0.015949816358616475,-0.03641739883603268,0.4166666666666667,-0.002174049360630703,-0.01555851076352377,-0.02088910845887093,0.3777777777777777,-0.01304457512115327
0.0,0.5,0.25,0.25,0.5,10,5,0.096711589626016,-0.02228312320357384,-0.06700891302297385,1.0,-0.024266419395081007,0.01780170442236284,-0.014923328760582222,1.0,-0.0278307512265763,-0.006217749403151007,-0.04445692655466882,1.0,-0.044597995663380297,-0.05798245706627336,-0.054988341801705864,1.0,-0.015207010306431174
0.0,0.5,0.25,0.25,0.5,10,3,0.04724508908927749,-0.07174962374031235,-0.05759872388839016,0.6045454545454544,0.029528085242291446,0.0715962090597353,-0.002343251207396424,0.6666666666666666,-0.038684936087053035,-0.01707193426362774,-0.05520501701617553,0.6666666666666666,-0.02246437323187589,-0.035848834634768956,-0.03573075937592196,0.6444444444444444,-0.02232639375296624
0.0,0.5,0.25,0.5,0.0,20,5,0.08564856520008068,-0.03334614762950916,-0.04929933859198521,0.5056818181818182,-0.015774468701673983,0.026293655115769865,-0.018853771248459772,0.5833333333333334,-0.02570833908986414,-0.004095337266438848,-0.03072221186047075,0.5833333333333334,0.003682762585960786,-0.00970169881693228,-0.006943629592086609,0.5555555555555556,-0.010501908066842326
0.0,0.5,0.25,0.5,0.0,20,3,0.055555122522077394,-0.06343959030751245,-0.051028783061081606,0.30795454545454537,-0.022201120021364096,0.019867003796079752,-0.0341733251618036,0.4166666666666667,-0.03069648842637962,-0.009083486602954327,-0.03568469132097518,0.4166666666666667,0.011462618744636721,-0.0019218426582563453,-0.0065530702674138075,0.3777777777777777,-0.025231864078542266
0.0,0.5,0.25,0.5,0.0,10,5,0.05918990401274615,-0.05980480881684369,-0.04959987754362294,1.0,-0.036893783994668694,0.005174339822775154,-0.024731530711164518,1.0,-0.05360609531699456,-0.03199309349356927,-0.054862598678080854,1.0,-0.016758178453935346,-0.030142639856828413,-0.01746103765672624,1.0,-0.03493893901444552
