score_variant,top_n,daily_replace_k,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,val_day_count,val_final_nav,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,hold_day_count,hold_final_nav,val_excess_equal,hold_excess_equal
y_score,50,3,0.10589200340154559,1.4237319485247995,-0.11450074780630537,0.13000000000000003,88.0,1105892.0034015456,-0.05838369636972751,-9.29031528255949,-0.056525723145593454,0.2666666666666668,6.0,941616.3036302725,-0.008811175004216132,-0.01643704681833591
y_score,50,5,0.08867149482741743,1.213947576720791,-0.11143954113418819,0.20909090909090908,88.0,1088671.4948274174,-0.05651576014442283,-8.291767511005544,-0.05921929194761011,0.3333333333333333,6.0,943484.2398555771,-0.02603168357834429,-0.014569110593031231
y_score,50,10,0.11743161905303223,1.5781374827747432,-0.10849729489419913,0.4068181818181818,88.0,1117431.6190530322,-0.057866119183571096,-7.769564979785878,-0.06510589796507138,0.49999999999999994,6.0,942133.8808164289,0.0027284406472705136,-0.015919469632179495
y_score,50,50,-0.015401026343258684,-0.08509405010864168,-0.12600219241579536,1.9886363636363635,88.0,984598.9736567413,-0.06496751772630083,-10.282976431505682,-0.06234881892876709,1.8333333333333333,6.0,935032.4822736991,-0.1301042047490204,-0.023020868174909226
return_pred,5,0,0.0075779810802734104,0.20883252675350217,-0.12945991969875903,0.19772727272727272,88.0,1007577.9810802734,0.06245229090246074,6.704884624423091,-0.015630689448906554,0.26666666666666666,6.0,1062452.2909024607,-0.10712519732548831,0.10439894045385234
return_pred,5,1,-0.15552443923681503,-1.5760623563999865,-0.2670874817417106,0.4068181818181818,88.0,844475.560763185,0.04721498809592117,7.011736251698743,-0.012772311813831316,0.49999999999999994,6.0,1047214.9880959211,-0.27022761764257675,0.08916163764731277
return_pred,5,2,0.06179649215366134,0.6771508709767043,-0.19462275614151903,0.8022727272727272,88.0,1061796.4921536613,-0.05911626515778057,-8.092045760915793,-0.07195376970163947,0.8333333333333334,6.0,940883.7348422194,-0.05290668625210038,-0.017169615606388966
return_pred,5,3,0.012996583115639115,0.28090368606599947,-0.27458021817593126,1.1977272727272725,88.0,1012996.583115639,-0.12561135459272266,-15.400040924329724,-0.12431984376888228,1.1666666666666667,6.0,874388.6454072774,-0.1017065952901226,-0.08366470504133106
return_pred,5,5,0.17753120492022867,1.503348447718944,-0.21542306313034199,1.9886363636363635,88.0,1177531.2049202286,-0.06697567057481468,-7.077799696294008,-0.08448496889662949,1.8333333333333333,6.0,933024.3294251853,0.06282802651446695,-0.02502902102342308
return_pred,10,0,0.0681739217681816,0.959746414938238,-0.12958068075118567,0.10454545454545454,88.0,1068173.9217681815,0.06503025514440575,8.981443881111588,-0.012458864599466324,0.20000000000000004,6.0,1065030.2551444056,-0.04652925663758012,0.10697690469579735
return_pred,10,1,-0.09686881604244157,-1.2418755621904272,-0.2083086477317615,0.20909090909090908,88.0,903131.1839575585,0.007909838916373646,1.6028272310826541,-0.028289726050997777,0.3333333333333333,6.0,1007909.8389163737,-0.2115719944482033,0.04985648846776525
return_pred,10,2,-0.026150859495317036,-0.15423282821382797,-0.19524796780037612,0.4068181818181818,88.0,973849.140504683,0.0034559146459807177,0.7255111303607549,-0.02403426445360557,0.49999999999999994,6.0,1003455.9146459807,-0.14085403790107875,0.04540256419737232
return_pred,10,3,0.01481505023255969,0.2917685202750286,-0.19413410467329428,0.6045454545454544,88.0,1014815.0502325598,-0.01721776975616618,-2.8749596471578402,-0.040051355597414906,0.6666666666666666,6.0,982782.2302438339,-0.09988812817320203,0.024728879795225422
return_pred,10,5,0.12886575899814745,1.424071240700924,-0.19297364460646504,1.0,88.0,1128865.7589981474,-0.025193828062935242,-4.65315097633611,-0.042975322368759006,1.0,6.0,974806.1719370647,0.014162580592385732,0.01675282148845636
