industry,count,top20,top80,median_rank,mean_score,variant
半导体,186,4,8,3924.0,-951612903.1100031,strict_theme_s5_rerank
商品城,4,0,0,2847.0,-1000000000.15,strict_theme_s5_rerank
商贸代理,14,0,0,2617.5,-1000000000.0,strict_theme_s5_rerank
啤酒,6,0,0,4435.0,-1000000000.4,strict_theme_s5_rerank
园区开发,12,0,0,2881.0,-1000000000.1,strict_theme_s5_rerank
塑料,64,1,2,1722.5,-921874999.8775079,strict_theme_s5_rerank
多元金融,22,0,0,2757.0,-1000000000.0545455,strict_theme_s5_rerank
家居用品,62,0,0,2372.5,-983870967.7530985,strict_theme_s5_rerank
家用电器,79,0,0,2110.0,-974683544.3226452,strict_theme_s5_rerank
小金属,57,0,2,1567.0,-912280701.6544546,strict_theme_s5_rerank
工程机械,32,0,0,1831.0,-937499999.913316,strict_theme_s5_rerank
广告包装,48,1,1,1249.0,-958333333.285203,strict_theme_s5_rerank
建筑工程,106,1,4,2419.5,-962264150.9068018,strict_theme_s5_rerank
影视音像,32,0,1,1674.0,-968749999.9417374,strict_theme_s5_rerank
房产服务,11,0,0,1280.0,-1000000000.0545455,strict_theme_s5_rerank
批发业,5,0,0,1125.0,-1000000000.1200001,strict_theme_s5_rerank
摩托车,11,0,0,3197.0,-1000000000.0,strict_theme_s5_rerank
文教休闲,46,0,1,1891.5,-956521739.1247469,strict_theme_s5_rerank
新型电力,30,0,0,3062.0,-1000000000.1800001,strict_theme_s5_rerank
旅游景点,17,0,0,3388.0,-1000000000.2470589,strict_theme_s5_rerank
旅游服务,7,0,0,3221.0,-1000000000.2571429,strict_theme_s5_rerank
日用化工,18,0,0,2512.5,-1000000000.0666667,strict_theme_s5_rerank
普钢,25,0,0,2531.0,-1000000000.048,strict_theme_s5_rerank
服饰,56,0,0,2211.5,-1000000000.0857143,strict_theme_s5_rerank
机场,5,0,0,2790.0,-1000000000.1200001,strict_theme_s5_rerank
机床制造,21,0,0,1451.0,-952380952.3163843,strict_theme_s5_rerank
机械基件,112,0,1,2221.0,-991071428.5611303,strict_theme_s5_rerank
林业,3,0,0,318.0,-1000000000.0,strict_theme_s5_rerank
染料涂料,32,0,0,2195.0,-937499999.9180987,strict_theme_s5_rerank
橡胶,12,0,0,2118.5,-1000000000.1,strict_theme_s5_rerank
水力发电,22,0,1,4419.5,-954545454.7983024,strict_theme_s5_rerank
水务,14,0,0,3125.0,-1000000000.2571429,strict_theme_s5_rerank
水泥,22,0,0,2715.0,-954545454.5873704,strict_theme_s5_rerank
水运,18,0,0,3093.0,-1000000000.0666667,strict_theme_s5_rerank
汽车整车,22,0,0,2570.5,-1000000000.0545455,strict_theme_s5_rerank
汽车服务,8,0,0,2928.5,-1000000000.15,strict_theme_s5_rerank
汽车配件,231,0,5,2454.0,-974025974.0121585,strict_theme_s5_rerank
渔业,7,0,0,2567.0,-1000000000.0857143,strict_theme_s5_rerank
港口,16,0,0,3182.0,-1000000000.2625,strict_theme_s5_rerank
火力发电,31,0,1,4382.0,-903225806.5969706,strict_theme_s5_rerank
焦炭加工,7,0,0,2962.0,-1000000000.0,strict_theme_s5_rerank
煤炭开采,25,1,5,2726.0,-719999999.3810287,strict_theme_s5_rerank
特种钢,10,0,0,2755.5,-1000000000.1200001,strict_theme_s5_rerank
环境保护,109,0,1,2311.0,-981651376.1957651,strict_theme_s5_rerank
玻璃,19,0,0,2671.0,-894736841.9926915,strict_theme_s5_rerank
生物制药,72,0,0,3925.5,-1000000000.0583333,strict_theme_s5_rerank
电信运营,5,0,0,3043.0,-1000000000.0,strict_theme_s5_rerank
